Run,Top_K,LASSO_Features,DODA_Features,Common_Feature_Count,LASSO_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
18,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean symmetry, mean texture, perimeter error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
19,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
19,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
19,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
19,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
20,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
20,10,"area error, mean concave points, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",9,10,10,False,0.8181818181818182,mean radius,area error
20,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean concave points, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean compactness, mean concavity, mean perimeter, mean radius, mean smoothness","area error, compactness error, concave points error, concavity error, fractal dimension error"
20,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean smoothness, mean symmetry, perimeter error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
21,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
21,10,"area error, mean concave points, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",9,10,10,False,0.8181818181818182,mean radius,area error
21,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean concave points, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean compactness, mean concavity, mean perimeter, mean radius, mean smoothness","area error, compactness error, concave points error, concavity error, fractal dimension error"
21,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean smoothness, mean symmetry, perimeter error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
22,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, worst concave points, worst perimeter, worst radius, worst texture",4,5,5,False,0.6666666666666666,worst perimeter,radius error
22,10,"area error, mean concave points, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",9,10,10,False,0.8181818181818182,mean radius,area error
22,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean concave points, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean compactness, mean perimeter, mean radius, mean smoothness, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
22,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",15,20,20,False,0.6,"mean smoothness, mean symmetry, mean texture, perimeter error, texture error","area error, compactness error, concave points error, concavity error, fractal dimension error"
23,5,"mean concave points, mean concavity, worst concave points, worst radius, worst texture","mean concave points, mean concavity, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
23,10,"area error, compactness error, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean concavity, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",8,10,10,False,0.6666666666666666,"mean radius, mean texture","area error, compactness error"
23,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
23,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
24,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
24,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
24,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
24,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
25,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
25,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
25,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
25,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
